Gemeente;Stad/Gem.;Provincie;Oppervlakte (km²);Aantal inwoners (01/01/2023);Deelgemeenten;Path
Poperinge;stad;West-Vlaanderen;119,33;19.947;Poperinge, Reningelst, Krombeke, Proven, Roesbrugge-Haringe, Watou;path88
Putte;gem.;Antwerpen;34,96;18.631;Putte, Beerzel;path192
Puurs-Sint-Amands;gem.;Antwerpen;48,99;26.772;Breendonk, Liezele, Lippelo, Oppuurs, Puurs, Ruisbroek, Sint-Amands;path182
Ranst;gem.;Antwerpen;43,58;19.609;Ranst, Broechem, Emblem, Oelegem;path156
Ravels;gem.;Antwerpen;94,99;15.338;Ravels, Weelde, Poppel;path137
Retie;gem.;Antwerpen;48,39;11.841;Retie;path148
Riemst;gem.;Limburg;57,88;16.850;Riemst, Genoelselderen, Herderen, Kanne, Membruggen, Millen, Val-Meer, Vlijtingen, Vroenhoven, Zichen-Zussen-Bolder;path229
Rijkevorsel;gem.;Antwerpen;46,79;12.531;Rijkevorsel;path143
Roeselare;stad;West-Vlaanderen;59,79;65.468;Roeselare, Beveren, Oekene, Rumbeke;path100
Ronse;stad[3];Oost-Vlaanderen;34,48;27.075;Ronse;path59
Roosdaal;gem.;Vlaams-Brabant;21,69;11.866;Onze-Lieve-Vrouw-Lombeek, Pamel, Strijtem, Borchtlombeek;path297
Rotselaar;gem.;Vlaams-Brabant;37,57;17.499;Rotselaar, Wezemaal, Werchter;path262
Ruiselede;gem.;West-Vlaanderen;30,2;5.504;Ruiselede;path96
Rumst;gem.;Antwerpen;19,9;15.417;Rumst, Reet, Terhagen;path168
Schelle;gem.;Antwerpen;7,8;8.662;Schelle;path165
Scherpenheuvel-Zichem;stad;Vlaams-Brabant;50,5;23.705;Scherpenheuvel, Averbode, Zichem, Messelbroek, Testelt;path251
Schilde;gem.;Antwerpen;35,99;20.293;Schilde, 's-Gravenwezel;path151
Schoten;gem.;Antwerpen;29,55;34.360;Schoten;path150
Sint-Genesius-Rode;gem.[3];Vlaams-Brabant;22,77;18.739;Sint-Genesius-Rode;path309
Sint-Gillis-Waas;gem.;Oost-Vlaanderen;54,98;19.932;Sint-Gillis-Waas, De Klinge, Meerdonk, Sint-Pauwels;path13
Sint-Katelijne-Waver;gem.;Antwerpen;36,12;21.595;Sint-Katelijne-Waver, Onze-Lieve-Vrouw-Waver;path186
Sint-Laureins;gem.;Oost-Vlaanderen;74,5;7.041;Sint-Laureins, Sint-Jan-in-Eremo, Sint-Margriete, Waterland-Oudeman, Watervliet;path2
Sint-Lievens-Houtem;gem.;Oost-Vlaanderen;26,67;10.658;Sint-Lievens-Houtem, Letterhoutem, Bavegem, Zonnegem, Vlierzele;path45
Sint-Martens-Latem;gem.;Oost-Vlaanderen;14,34;8.257;Sint-Martens-Latem, Deurle;path22
Sint-Niklaas;stad;Oost-Vlaanderen;83,8;81.138;Sint-Niklaas, Nieuwkerken-Waas, Belsele, Sinaai;path18
Sint-Pieters-Leeuw;gem.;Vlaams-Brabant;40,38;36.052;Sint-Pieters-Leeuw, Oudenaken, Sint-Laureins-Berchem, Ruisbroek, Vlezenbeek;path299
